iter	Passed	Remaining
0	946	3784919
1	1513	3025350
2	2276	3033245
3	3032	3029212
4	3538	2826875
5	4014	2672620
6	4480	2555584
7	4964	2477061
8	5444	2414543
9	5900	2354399
10	6381	2314012
11	6860	2280026
12	7305	2240427
13	7763	2210304
14	8140	2162624
15	8487	2113274
16	8909	2087532
17	9365	2071954
18	9810	2055588
19	10292	2048269
20	10630	2014290
21	11119	2010663
22	11618	2009002
23	12086	2002288
24	12530	1992283
25	12972	1982817
26	13399	1971653
27	13850	1964765
28	14270	1954030
29	14554	1926006
30	14966	1916169
31	15414	1911440
32	15831	1903159
33	16289	1900130
34	16702	1892167
35	17176	1891306
36	17637	1889082
37	18134	1890792
38	18615	1890648
39	19044	1885398
40	19547	1887563
41	19990	1883847
42	20348	1872541
43	20828	1872707
44	21231	1866028
45	21661	1861961
46	22069	1856186
47	22485	1851315
48	22881	1844991
49	23303	1840989
50	23771	1840691
51	24198	1837196
52	24555	1828715
53	25015	1827963
54	25451	1825570
55	25886	1823143
56	26362	1823662
57	26847	1824674
58	27301	1823614
59	27782	1824355
60	28072	1812758
61	28507	1810666
62	28921	1807349
63	29352	1805195
64	29754	1801282
65	29942	1784746
66	30177	1771490
67	30637	1771571
68	31006	1766466
69	31460	1766309
70	31958	1768531
71	32303	1762344
72	32716	1759994
73	33178	1760234
74	33624	1759689
75	34068	1759032
76	34497	1757602
77	34689	1744256
78	35208	1747521
79	35696	1749114
80	36196	1751305
81	36689	1753043
82	37146	1753032
83	37574	1751668
84	38005	1750473
85	38494	1751947
86	38951	1751923
87	39442	1753413
88	39973	1756586
89	40296	1750659
90	40801	1752666
91	41233	1751514
92	41645	1749571
93	42006	1745506
94	42496	1746812
95	43022	1749563
96	43219	1739036
97	43697	1739886
98	44160	1740096
99	44419	1732352
100	44917	1733989
101	45377	1734151
102	45817	1733494
103	46221	1731515
104	46553	1726917
105	47027	1727594
106	47456	1726630
107	47955	1728164
108	48459	1729863
109	48654	1720601
110	49129	1721296
111	49326	1712322
112	49732	1710720
113	50033	1705537
114	50528	1706969
115	51054	1709443
116	51566	1711390
117	52137	1715249
118	52601	1715531
119	53054	1715416
120	53546	1716593
121	54091	1719400
122	54388	1714347
123	54583	1706163
124	54863	1700761
125	55354	1701922
126	55899	1704707
127	56360	1704912
128	56543	1696752
129	56979	1696234
130	57473	1697431
131	57970	1698721
132	58272	1694279
133	58559	1689472
134	58854	1684974
135	59208	1682213
136	59702	1683424
137	59922	1676961
138	60183	1671727
139	60664	1672597
140	61158	1673821
141	61461	1669859
142	61988	1671955
143	62323	1668896
144	62841	1670720
145	63359	1672523
146	63535	1665329
147	63721	1658474
148	64214	1659660
149	64713	1660980
150	65278	1663960
151	65693	1663082
152	66225	1665148
153	66418	1658733
154	66873	1658882
155	67455	1662178
156	68053	1665787
157	68637	1669010
158	69114	1669610
159	69324	1663798
160	69835	1665207
161	70366	1667076
162	70857	1667974
163	71117	1663457
164	71342	1658174
165	71837	1659175
166	72219	1657577
167	72595	1655862
168	72879	1652085
169	73275	1650848
170	73751	1651435
171	74158	1650454
172	74428	1646470
173	74891	1646753
174	75057	1640540
175	75479	1639959
176	75854	1638363
177	76324	1638842
178	76706	1637413
179	77121	1636680
180	77299	1630975
181	77585	1627593
182	78098	1628974
183	78486	1627741
184	78898	1627008
185	79368	1627478
186	79580	1622667
187	80096	1624088
188	80578	1624783
189	81004	1624349
190	81474	1624790
191	81945	1625261
192	82396	1625304
193	82857	1625547
194	83146	1622426
195	83626	1623046
196	84108	1623679
197	84495	1622490
198	84955	1622697
199	85384	1622307
200	85843	1622486
201	86276	1622160
202	86548	1618845
203	87036	1619559
204	87513	1620063
205	87978	1620341
206	88443	1620616
207	88913	1620964
208	89315	1620075
209	89801	1620701
210	90221	1620140
211	90707	1620751
212	91176	1621050
213	91601	1620567
214	92068	1620828
215	92539	1621162
216	92999	1621270
217	93380	1620030
218	93780	1619104
219	94248	1619366
220	94721	1619697
221	95122	1618794
222	95291	1613979
223	95767	1614366
224	96229	1614510
225	96717	1615092
226	96959	1611583
227	97420	1611717
228	97586	1606983
229	97920	1605042
230	98390	1605342
231	98888	1606082
232	99146	1602941
233	99643	1603667
234	100084	1603475
235	100561	1603866
236	101060	1604598
237	101584	1605720
238	101906	1603645
239	102323	1603064
240	102826	1603837
241	103280	1603830
242	103787	1604651
243	104229	1604451
244	104727	1605104
245	105182	1605099
246	105609	1604662
247	106091	1605060
248	106577	1605515
249	106749	1601235
250	107252	1601957
251	107761	1602734
252	108234	1602978
253	108742	1603735
254	108930	1599784
255	109453	1600760
256	109910	1600753
257	110387	1601050
258	110883	1601608
259	111387	1602262
260	111921	1603355
261	112429	1604057
262	112910	1604364
263	113422	1605103
264	113911	1605512
265	114403	1605948
266	114865	1605964
267	115325	1605946
268	115827	1606515
269	116401	1608070
270	116922	1608866
271	117394	1608995
272	117918	1609831
273	118434	1610540
274	119053	1612628
275	119673	1614724
276	120240	1616079
277	120682	1615755
278	121239	1616960
279	121734	1617335
280	122249	1617955
281	122706	1617812
282	123167	1617712
283	123638	1617750
284	124115	1617851
285	124490	1616640
286	124958	1616619
287	125425	1616589
288	125892	1616558
289	126423	1617348
290	126866	1617008
291	127423	1618104
292	127991	1619336
293	128506	1619879
294	129052	1620807
295	129551	1621145
296	130072	1621746
297	130481	1620953
298	131028	1621863
299	131576	1622781
300	132122	1623654
301	132705	1624986
302	133201	1625230
303	133720	1625759
304	134269	1626644
305	134819	1627524
306	135316	1627764
307	135855	1628496
308	136368	1628923
309	136861	1629094
310	137367	1629422
311	137941	1630535
312	138510	1631596
313	139033	1632092
314	139592	1633009
315	140125	1633617
316	140660	1634230
317	141132	1634120
318	141709	1635208
319	142310	1636571
320	142860	1637326
321	143417	1638165
322	144039	1639734
323	144638	1641025
324	145249	1642441
325	145833	1643529
326	146411	1644558
327	146993	1645610
328	147579	1646695
329	148155	1647666
330	148711	1648401
331	149284	1649320
332	149850	1650153
333	150428	1651112
334	151042	1652451
335	151605	1653219
336	152165	1653956
337	152853	1656063
338	153494	1657645
339	154115	1659010
340	154735	1660345
341	155503	1663252
342	156238	1665787
343	156969	1668258
344	157707	1670785
345	158364	1672444
346	158951	1673340
347	159625	1675151
348	160266	1676597
349	160981	1678803
350	161666	1680688
351	162275	1681767
352	162874	1682727
353	163539	1684369
354	164256	1686523
355	164927	1688193
356	165552	1689373
357	166119	1689965
358	166815	1691852
359	167490	1693511
360	168132	1694828
361	168806	1696455
362	169497	1698240
363	170213	1700269
364	170930	1702281
365	171610	1703910
366	172269	1705322
367	172860	1706059
368	173515	1707414
369	174162	1708672
370	174870	1710524
371	175591	1712493
372	176265	1713977
373	176873	1714819
374	177512	1715952
375	178124	1716819
376	178778	1718080
377	179408	1719096
378	180120	1720890
379	180775	1722123
380	181353	1722618
381	181976	1723537
382	182617	1724617
383	183228	1725402
384	183902	1726772
385	184578	1728147
386	185236	1729355
387	185909	1730681
388	186538	1731591
389	187165	1732478
390	187804	1733468
391	188457	1734573
392	189086	1735461
393	189702	1736211
394	190355	1737297
395	190988	1738188
396	191639	1739236
397	192273	1740119
398	192876	1740720
399	193518	1741663
400	194138	1742401
401	194695	1742573
402	195299	1743160
403	195885	1743571
404	196437	1743689
405	196933	1743295
406	197469	1743266
407	198039	1743520
408	198583	1743554
409	199112	1743451
410	199628	1743228
411	200188	1743386
412	200752	1743578
413	201337	1743948
414	201902	1744142
415	202531	1744890
416	203131	1745374
417	203728	1745826
418	204366	1746629
419	204976	1747182
420	205539	1747326
421	206106	1747509
422	206646	1747456
423	207203	1747544
424	207767	1747687
425	208344	1747944
426	208904	1748046
427	209513	1748557
428	210060	1748545
429	210655	1748934
430	211197	1748873
431	211768	1749052
432	212332	1749168
433	212877	1749129
434	213411	1748991
435	213927	1748711
436	214460	1748565
437	215012	1748567
438	215556	1748508
439	216111	1748535
440	216666	1748559
441	217210	1748491
442	217756	1748439
443	218280	1748211
444	218844	1748296
445	219390	1748237
446	219969	1748440
447	220520	1748409
448	221104	1748646
449	221682	1748829
450	222259	1748996
451	222800	1748887
452	223366	1748966
453	223908	1748854
454	224469	1748892
455	225009	1748758
456	225543	1748576
457	226097	1748550
458	226651	1748527
459	227203	1748477
460	227781	1748630
461	228339	1748624
462	228934	1748897
463	229474	1748754
